url,referer_url,screen_resolution,device_type,custom_parameters,pageview_id,user_id,visitor_id,created_at,country
https://www.bindle.com/,,375x667,mobile,{},bd339eac0fbb8687,,76b2205db561a3d9,2018-04-12 04:57:37.967302,bs
https://www.bindle.com/,,1920x1080,desktop,{},91775d2cb1133aba,,10f6c4eb6a5c23a8,2018-11-24 23:21:57.063394,is
https://www.bindle.com/,,1280x800,desktop,{},de24aa6ad758160f,,092162952d59bb28,2018-08-18 19:09:59.05282,dj
https://www.bindle.com/,https://techcrunch.com/,375x667,mobile,{},358368cf91a2edf6,,8c743148dc9545b7,2018-02-25 03:05:16.481191,nf
https://www.bindle.com/books/slave-in-the-night,https://www.bindle.com/,375x667,mobile,{},25d2ec40855e3acf,,8f6a4ca3df2e9999,2018-01-08 13:07:21.678551,sk
https://www.bindle.com/,https://techcrunch.com/,375x667,mobile,{},711fa904c80726b8,,8f6a4ca3df2e9999,2018-01-08 13:05:50.678551,sk
https://www.bindle.com/,https://techcrunch.com/,1280x800,desktop,{},59ffc22f756510e9,,0cc365d23ca895c8,2018-08-22 03:18:06.753522,mp
https://www.bindle.com/,,375x667,mobile,{},9bf1595d1082367d,,119dab7b70fe1c08,2018-01-22 17:25:43.015257,sh
https://www.bindle.com/,https://techcrunch.com/,375x667,mobile,{},6e3ebf97ca3a2c3e,,d10720a089bd5bf3,2018-05-07 21:08:50.745069,ck
https://www.bindle.com/books/the-sacred-sorcerer,https://www.bindle.com/,375x667,mobile,{},add8c67ea61715c9,,d10720a089bd5bf3,2018-05-07 21:13:14.745069,ck
https://www.bindle.com/,,320x568,mobile,{},c8810f4207039300,,a9620c8e252d278e,2018-12-03 15:15:51.106313,ba
https://www.bindle.com/,https://techcrunch.com/,375x667,mobile,{},38920e9809fd5abb,,ccfb13281ac1c587,2018-03-30 09:07:33.543448,mf
https://www.bindle.com/,,1280x800,desktop,{},f755db3f2989f21a,,dc73486643543e7b,2018-06-13 13:07:59.104894,tf
https://www.bindle.com/,,1024x1366,tablet,{},1fd624b148985a8e,,33c8ebcb75f6ee24,2018-05-08 21:28:25.482118,vn
https://www.bindle.com/,,375x667,mobile,{},fa3b9c4f0a32e8ca,,94b2ee94a35f31b8,2018-04-21 02:08:37.031617,tg
https://www.bindle.com/,,1280x800,desktop,{},293e4dd78404c228,,a89025b8ae769706,2018-08-17 23:31:02.348551,gl
https://www.bindle.com/,,1280x800,desktop,{},ae4b0e6d0b645659,,7ce1bf7260fb8721,2018-03-13 00:23:35.54685,kw
https://www.bindle.com/,,375x667,mobile,{},d648a132e8608c7f,,d45c2e5075195da6,2018-05-20 07:40:26.52023,nr
https://www.bindle.com/,,1024x1366,tablet,{},c65c8ede6d068ec0,,86af86ef23ef8e34,2018-11-05 23:57:55.059697,pk
